2023-01-09 11:39:36.512 [DEBU] {6462c442e486381713cb9b7a05b46e7c} [ 14 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
2023-01-09 11:39:36.529 [DEBU] {c9739e43e486381714cb9b7a59346dd6} [ 16 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 11:39:36.532 [DEBU] {c530b344e486381715cb9b7a58ac2017} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 11:39:36.539 [DEBU] {9af1d144e486381716cb9b7a9f8fbb2c} [  6 ms] [default] [shop] [rows:5  ] SHOW FULL COLUMNS FROM `role_permission_info`
2023-01-09 11:39:36.543 [DEBU] {99c73245e486381717cb9b7a9130db9f} [  4 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 11:39:36.549 [DEBU] {d9727045e486381718cb9b7aec408602} [  6 ms] [default] [shop] [rows:6  ] SHOW FULL COLUMNS FROM `permission_info`
2023-01-09 11:39:36.553 [DEBU] {c2facf45e486381719cb9b7a7e486a9c} [  3 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 11:40:09.856 [DEBU] {5726d406ec8638171ccb9b7a2a5ed00c} [  3 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`name`='song') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 11:40:09.859 [DEBU] {ec8d1f07ec8638171dcb9b7a0bfbca92} [  1 ms] [default] [shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`deleted_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE (`id`='3') AND `deleted_at` IS NULL LIMIT 1
2023-01-09 11:40:09.860 [DEBU] {465a3907ec8638171ecb9b7a08f9edd3} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`role_id`,`permission_id`,`created_at`,`updated_at` FROM `role_permission_info` WHERE `role_id` IN ('2')
2023-01-09 11:40:09.862 [DEBU] {29b05407ec8638171fcb9b7a4bb70ea0} [  1 ms] [default] [shop] [rows:0  ] SELECT `id`,`name`,`path`,`created_at`,`updated_at`,`deleted_at` FROM `permission_info` WHERE (0=1) AND `deleted_at` IS NULL
2023-01-09 11:57:16.352 [DEBU] {300b9206db87381781cf9420d4c9efe5} [  7 ms] [default] [shop] [rows:9  ] SHOW FULL COLUMNS FROM `admin_info`
